ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"8.210.69.108","elite","AS45102","HK","Alibaba.com LLC","310","Hong Kong","443","socks5","3272","1","2025-04-10T07:21:35.075Z","99","9436","9486"
"43.153.56.181","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks5","4999","1","2025-04-10T07:18:40.699Z","79","7485","9439"
"43.157.45.185","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","7","Tencent Cloud Computing","443","socks4","5002","1","2025-04-10T07:18:10.194Z","17","1572","9478"
"43.135.160.152","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks5","2386","1","2025-04-10T07:16:03.074Z","82","7718","9382"
"43.134.168.21","elite","AS132203","SG","Aceville Pte.ltd","314","N/A","443","socks4","3793","1","2025-04-10T07:15:13.264Z","76","7120","9425"
"202.159.30.81","elite","AS9340","ID","PT IndoInternet","168","N/A","443","socks4","3505","1","2025-04-10T07:14:41.563Z","99","9219","9356"
"129.226.92.230","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","318","Aceville Pte.ltd","443","socks4","4777","1","2025-04-10T07:14:02.874Z","92","8640","9401"
"202.159.121.225","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","2397","1","2025-04-10T07:13:37.978Z","99","9265","9362"
"154.16.63.16","elite","AS61317","GB","Hivelocity Inc","166","Digital Energy Technologies Limited","443","socks4","4604","1","2025-04-10T07:10:36.990Z","91","8612","9476"
"5.22.209.238","elite","AS202053","NL","UpCloud Ltd","12","Upcloud NL Ams1","443","socks4","605","1","2025-04-10T07:10:20.179Z","100","774","774"
"202.159.35.145","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","1704","1","2025-04-10T07:07:02.697Z","99","9333","9441"
